Código do Produto;Título;Situação;Unidade Responsável;Instrumento;[Revisar] Programa;[Revisar] Edital de Credenciamento (Programa Credenciado);[Revisar] Dimensão de Complexidade;[Revisar] Quantidade Mínima de Participantes;[Revisar] Quantidade Máxima de Participantes;[Revisar] Carga Horária Mínima (Instrutoria);[Revisar] Carga Horária Máxima (Instrutoria);[Revisar] Carga Horária Mínima (Consultoria);[Revisar] Carga Horária Máxima (Consultoria)
BA00000000272;Área de Comércio Exterior;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;4;360
BA00000000291;Área de Comércio Exterior;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Oficina;7;1;0;15;30;4;12;0;0
BA00000000305;Área de Comércio Exterior;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Seminário;7;1;0;30;60;2;4;0;0
BA00000000319;Área de Comércio Exterior;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Palestra;7;1;0;30;60;1;4;0;0
BA00000000597;Consultoria para Implantação e Formação de Central de Negócios;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;5;30;0;0;420;420
BA00000000604;Consultoria para o Programa Franqueador Bahia;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;384;386
BA00000000668;Consultoria Missões técnicas / Empresariais;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;25;60;0;0;120;120
BA00000000669;Consultoria de Acesso a Feiras;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;15;60;0;0;120;420
BA00000000670;Consultoria para Promoção de Feira de Negócios;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;15;60;0;0;120;420
BA00000000671;Consultoria de Rodada de Negócios;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;50;150;0;0;120;120
BA00000000675;Consultoria de Prospecção de Mercado - Comércio Brasil;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;15;60;0;0;37;97
BA00000000677;Consultoria no Ciclo de Atuação de Mercado - Foco no Mercado;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;1;1;0;0;120;420
BA00000000680;Consultoria para Formação de preço para Exportação;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;4;360
BA00000000682;Consultoria em temas de exportação;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;4;360
BA00000000684;Consultoria em temas de importação;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;4;360
BA00000000723;Consultoria para aplicar o 1ª Diagnóstico de Enquadramento do Programa Franqueador Bahia;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;8;8
BA00000000725;Consultoria para aplicar o 2ª Diagnóstico Organizacional do Programa Franqueador Bahia;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;8;8
BA00000000726;Consultoria em Missão Empresarial em BENCHMARKING;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;25;60;0;0;120;120
BA00000000727;Consultoria de Inteligência em Feiras;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;3;1;1;0;0;46;78
BA00000000988;Consultoria de Inteligência de Mercado;Ativo no Sebrae/BA;UNIDADE DE ACESSO A MERCADOS (UAM);Consultoria;7;1;2;1;1;0;0;120;320
BA00000000157;Avaliando se o Crédito é Problema ou Solução;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;10;100;2;2;0;0
BA00000000196;Orientação para o Crédito;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Curso;7;1;1;15;30;15;15;0;0
BA00000000289;Área de Serviços Financeiros e Contábeis;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;30;4;4;0;0
BA00000000303;Área de Serviços Financeiros e Contábeis;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Seminário;7;1;0;15;100;3;4;0;0
BA00000000317;Área de Serviços Financeiros e Contábeis;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;20;60;2;2;0;0
BA00000000547;Formação de Agentes de Microfinanças;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Curso;7;1;2;15;30;40;40;0;0
BA00000000654;Oficina de Crédito para MPE;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;50;4;4;0;0
BA00000000655;Oficina de Meios Eletrônicos de Pagamento;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;50;4;4;0;0
BA00000000656;Meios Eletrônicos de Pagamento;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;100;2;2;0;0
BA00000000657;Cartão BNDES;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;80;2;2;0;0
BA00000000658;Fundo de Aval SEBRAE - FAMPE;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;80;2;2;0;0
BA00000000660;Fontes alternativas de recursos financeiros: Conheça a opção do Crowdfunding;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;50;2;2;0;0
BA00000000662;Fiado só Amanhã: Cuidados com Inadimplência;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;100;2;2;0;0
BA00000000663;Tenho ideia mas não tenho recurso. O que fazer?;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Palestra;7;1;0;15;100;2;2;0;0
BA00000000664;Oficina de Capital de Giro;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;50;4;4;0;0
BA00000000665;Oficina Credinegócio;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;80;4;8;0;0
BA00000000666;Seminário Linhas de Crédito BNDES;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Seminário;7;1;0;15;120;0;0;0;0
BA00000000653;Oficina de Crédito para MEI;Ativo no Sebrae/BA;UNIDADE DE ACESSO A CRÉDITO E SERVIÇOS FINANCEIROS (UCSF);Oficina;7;1;0;15;50;4;4;0;0
BA00000000801;A Importância da Embalagem nos Seus Negócios;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Palestra;7;1;0;20;100;2;2;0;0
BA00000000643;Análise de Mercado para Começar Bem;Ativo no Sebrae/BA;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;4;1;0;20;30;8;8;0;0
BA00000000781;Análise de Negócio para Começar Bem;Aprovado;UNIDADE DE EDUCAÇÃO EMPREENDEDORA (UEE);Oficina;4;1;0;20;30;4;4;0;0
