TABELA DE INSUMOS;;;;;;;;;;;
;;;;;;;;;;;
Item;CÓDIGO DA SOLUÇÃO NA PIR/SIAC;Produto (Solução);Quantidade;Descrição do Insumo;Detalhamento;Código RM;;;;;
371;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;50;Expediente/Papel Flip Chart;;01.02.0179;;;;;
446;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
821;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Na medida/Bloco;;01.06.0001;;;;;
843;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Na medida/Pasta;;01.06.0002;;;;;
865;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Na medida/Caneta;;01.06.0005;;;;;
888;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Na medida/Certificado;;01.06.0006;;;;;
996;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Check Item/Vídeo do Na Medida;;;;;;;
1645;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Manual do Participante;;;;;;;
1677;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Matriz/Formulário de avaliação;;;;;;;
3004;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Caixa de Som ;;01.08.0010 ;;;;;
3066;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3132;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Evento/Computador ;;02.01.0046 ;;;;;
3195;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3261;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3330;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3396;BA00000000504/030000002068;Acesso ao crédito: Caminho para um investimento seguro Na Medida;1;Tela de Projeção ;;01.08.0057 ;;;;;
372;BA00000000749/1440000215;Analisando seu Mercado Na Medida;50;Expediente/Papel Flip Chart;;01.02.0179;;;;;
447;BA00000000749/1440000215;Analisando seu Mercado Na Medida;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
822;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Na medida/Bloco;;01.06.0001;;;;;
844;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Na medida/Pasta;;01.06.0002;;;;;
866;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Na medida/Caneta;;01.06.0005;;;;;
889;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Na medida/Certificado;;01.06.0006;;;;;
997;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Check Item/Vídeo do Na Medida;;;;;;;
1648;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Manual do Participante;;;;;;;
1698;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Matriz/Formulário de avaliação;;;;;;;
3005;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Caixa de Som ;;01.08.0010 ;;;;;
3067;BA00000000749/1440000215;Analisando seu Mercado Na Medida;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3133;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Evento/Computador ;;02.01.0046 ;;;;;
